BBOalert
1C--1N--2D--2H--2S--,2N,3-3-2-5
1C--1N--2D--2H--2S--,3C,3-2-3-5
1C--1N--2D--2H--2S--,3D,2-3-3-5
1C--1N--2D--2H--2S--,3H,2-2-4-5
1C--1N--2D--2H--2S--,3N,1-3-4-5
1C--1N--2D--2H--2S--,3S,3-1-4-5
1C--1N--2D--,2N,3-3-3-4; 3-3-4-3; 3-2-4-4; 2-3-4-4 
1C--1N--2D--2N--,3C,ASK distrib
1C--1N--2D--2N--3C--,3D,3-2-4-4
1C--1N--2D--2N--3C--,3H,2-3-4-4
1C--1N--2D--2N--3C--,3N,3-3-4-3
1C--1N--2D--2N--3C--,3S,3-3-3-4
1C--1N--2D--,2S,5!D
1C--1N--2D--2S--,2N,ASK distrib
1C--1N--2D--2S--2N--,3C,3-3-5-2
1C--1N--2D--2S--2N--,3D,3-2-5-3
1C--1N--2D--2S--2N--,3H,2-3-5-3
1C--1N--2D--2S--2N--,3N,3-1-5-4
1C--1N--2D--2S--2N--,3S,2-2-5-4
1C--1N--2D--2S--2N--,4C,1-3-5-4
1C--1N--2D--,3C,6!C
1C--1N--2D--3C--,3D,ASK distrib
1C--1N--2D--3C--3D--,3H,2-2-3-6
1C--1N--2D--3C--3D--,3N,3-2-2-6
1C--1N--2D--3C--3D--,3S,2-3-2-6
1C--1N--2D--,3D,6!D
1C--1N--2D--3D--,3H,ASK distrib
1C--1N--2D--3D--3H--,3N,2-3-6-2
1C--1N--2D--3D--3H--,3S,2-2-6-3
1C--1N--2D--3D--3H--,4C,3-2-6-2
1C--1N--2D--,3H,2-2-2-7
1C--1N--2D--,3S,2-2-7-2
1C--1N--,2H,18+HcP; 5+!H; GF
1C--1N--,2N,16-17HcP; Invite
1C--1N--,2S,18+HcP; 5+!S; GF
1C--1N--,3C,19+HcP; 6+!C; GF. CUE continue
1C--1N--,3D,19+HcP; 6+!D; GF. CUE continue
1C--1N--,3H,19+HcP; 6+!H; GF. CUE continue
1C--1N--,3N,19-22HcP; Signoff
1C--1N--,3S,19+HcP; 6+!S; GF. CUE continue
1C--1N--,4C,19+HcP; RKCB 14/03 in !C
1C--1N--,4D,19+HcP; RKCB 14/03 in !D
1C--1N--,4H,18-19HcP; 6+!H
1C--1N--,4S,18-19HcP; 6+!S
1C--1N--,--,To play
1C--,1S,7+HcP; 4+!S; 0-3!H
1C--1S--,1N,12-15HcP; bal. No 4card MAJOR
1C--1S--1N--,2D,New minor forcing
1C--1S--1N--2D--,2H,Natural; 4+!H
1C--1S--1N--2D--,2N,2-3!H; No other rebid
1C--1S--1N--2D--,2S,min; 3!S; 2-4!H
1C--1S--1N--2D--,3C,MAX; 2-3!S; No !C stop
1C--1S--1N--2D--,3D,Natural; 5+!D
1C--1S--1N--2D--,3S,MAX; 3!S
1C--1S--,2C,4+!C; 0-1!S
1C--1S--,2D,ASK distrib
1C--1S--2D--,2H,4!S; weak hand
1C--1S--2D--,2N,4!S; Strong hand
1C--1S--2D--,2S,5!S; Weak hand
1C--1S--2D--,3C,5!S; Strong hand
1C--1S--2D--,3D,6!S; Weak hand
1C--1S--2D--,3H,6!S; Strong hand
1C--1S--,2N,18+HcP; bal
1C--1S--,2S,12-15HcP; 4+!S
1C--1S--,3C,19+HcP; 6+!C; GF
1C--1S--,3D,19+HcP; 6+!D; GF
1C--1S--,3H,19+HcP; 4+!H; 0-1!S
1C--1S--,3N,19-21HcP; 0-1!S
1C--1S--,3S,15-17HcP; 4+!S; NF
1C--1S--,4C,17-18HcP; 6!C + 4!S
1C--1S--,4S,17-18HcP; 4-2-2-5
1C--,2C,9-11HcP; 5+!C
1C--,2D,9-11HcP; 5+!D
1C--2D--,2H,18+HcP; 5+!H; GF
1C--2D--,2N,12-18HcP; 4-4-1-4
1C--2D--2N--,3C,ASK distrib
1C--2D--2N--3C--,3D,minimum
1C--2D--2N--3C--,3H,medium; 4!H
1C--2D--2N--3C--,3N,17-17HcP
1C--2D--2N--3C--,3S,medium; 4!S
1C--2D--2N--,3D,Signoff
1C--2D--2N--,3H,4!H
1C--2D--2N--,3N,6+!D; Solid
1C--2D--2N--3N--,4C,0!D
1C--2D--2N--3N--,--,1!D; To play
1C--2D--2N--,3S,4!S
1C--2D--2N--,4H,4!H; Signoff
1C--2D--2N--,4S,4!S; Signoff
1C--2D--,2S,18+HcP; 5+!S; GF
1C--,2H,9-11HcP; 5+!H
1C--,2N,10-11HcP; bal
1C--,2S,9-11HcP; 5+!S
1C--,3C,5+!C; Invite
1C--,3D,5+!D; Invite
1C--,3N,13-15HcP; bal
1C--,3S,Trans -> 3NT
1C--,4C,0-10HcP; 7+!C
1C--,4D,0-10HcP; 7+!D
1C--,4H,0-10HcP; 7+!H
1C--,4S,0-10HcP; 7+!S
,1D,Please read chat#*11-18HcP; 5+!D   *11-16HcP; 4!D+5!C   *11-18HcP; 4441; 4!D and any short
1D--,1H,4+!H
1D--1H--,1N,4-1-4-4
1D--1H--,1S,4-4-4-1
1D--1H--,2C,11-16HcP; 5-4 minors; either longest
1D--1H--2C--,2D,Signoff
1D--1H--2C--,2H,5!H
1D--1H--2C--,2S,Stopper
1D--1H--2C--,--,To play
1D--1H--,2D,5+!D
1D--1H--,2H,1-4-4-4
1D--1H--,3D,The worst
1D--,1N,8-15HcP; 5!C + 4 MAJOR
1D--1N--,2C,6+!D
1D--1N--,2D,ASK MAJOR
1D--,1S,4+!S
1D--1S--,1N,1-4-4-4
1D--1S--,2C,11-16HcP; 5-4 minors; either longest
1D--1S--2C--,2D,Signoff
1D--1S--2C--,2H,Stopper
1D--1S--2C--,2S,5!S
1D--1S--2C--,--,To play
1D--1S--,2D,5+!D
1D--1S--,2H,4-1-4-4
1D--1S--,2S,4-4-4-1
1D--1S--,3D,The worst
1D--,2C,5+!C; Invite
1D--,2D,5+!D; Better raise
1D--2D--,2H,Stopper
1D--2D--,2S,Stopper
1D--2D--,3D,The worst
1D--,2H,5+!H; GF
1D--2H--,3D,The worst
1D--,2N,Balanced; Limit
1D--,2S,5+!S; GF
1D--2S--,3D,The worst
1D--,3C,4!C+4!D; Invite
1D--,3D,4+!D; Preempt
1D--,3H,4+!D; 0-1!H
1D--,3N,Signoff
1D--,3S,4+!D; 0-1!S
1D--,4C,4+!D; 0-1!C
1D--,--,0-5HcP; 3+!D
1H1N,2C,Signoff
1H1N,2D,Signoff
1H1N,2H,Signoff
1H1N,2N,Lebensohl delay
1H1N2N--,3C,Relay
1H1N2N--3C--,3D,Trans -> !H
1H1N2N--3C--,3H,Trans -> !S
1H1N2N--3C--,3N,Trans -> !D
1H1N2N--3C--,3S,Trans -> !C
1H1N2N--3C--,--,To play
1H1N,2S,Signoff
1H1N,3C,Trans -> !D; GF
1H1N,3D,Trans -> !H; GF
1H1N,3H,Trans -> !S; GF
1H1N,3N,No stop
1H1N,3S,Trans -> !C; GF
1H1N,Db,Penalty
1H1S,2C,5+!C; NF
1H1S,2D,5+!D; NF
1H1S,2H,3+!H; NF
1H1S,2S,*3+!H; Invite   *GF any
1H1S,3C,9-11HcP; 3+!H  +  4+!C
1H1S,3D,9-11HcP; 3+!H  +  4+!D
1H1S,3H,3+!H; Preempt
1H1S,3S,4+!H; GF
1H1S3S--,3N,ASK short
1H1S3S--3N--,4C,0-1!C
1H1S3S--3N--,4D,0-1!D
1H1S3S--3N--,4H,0-1!S
1H1S3S--,4H,Signoff
1H1S,Db,Negative DBL. 2 unbid or a long suit
1H1SDb--,1N,Relay
1H1SDb--1N--,2C,6+!C
1H1SDb--1N--,2D,6+!D
1H1SDb--1N--,2H,!C + !D
1H1S,--,Weak
1H2C,2D,5+!D; NF
1H2C,2H,3+!H; NF
1H2C,2S,5+!S; NF
1H2C,3C,*3+!H; Invite   *GF any
1H2C3C--,3D,ASK short
1H2C3C--3D--,3H,0-1!D
1H2C3C--3D--,3N,No short
1H2C3C--3D--,3S,0-1!S
1H2C3C--3D--,4C,0-1!C
1H2C3C--,3H,Signoff
1H2C,3D,9-11HcP; 3+!H  +  4+!D
1H2C,3H,9-11HcP; 3+!H  +  4+!S
1H2C,Db,Negative DBL. 2 unbid or a long suit
1H2CDb--,2D,Relay
1H2CDb--2D--,2H,5!S
1H2CDb--2D--,2N,6+!S
1H2CDb--2D--,2S,!S + !D
1H2CDb--2D--,3C,6+!D
1H2C,--,Weak
1H2D,2H,3+!H; NF
1H2D,2S,5+!S; NF
1H2D,3C,9-11HcP; 3+!H  +  4+!C
1H2D,3D,*3+!H; Invite   *GF any
1H2D3D--,3H,Signoff
1H2D3D--,3S,ASK short
1H2D3D--3S--,3N,No short
1H2D3D--3S--,4C,0-1!C
1H2D3D--3S--,4D,0-1!D
1H2D3D--3S--,4H,0-1!S
1H2D,3H,9-11HcP; 3+!H  +  4+!S
1H2D,Db,Negative DBL. 2 unbid or a long suit
1H2DDb--,2D,Relay
1H2DDb--2D--,2H,5!S
1H2DDb--2D--,2N,6+!S
1H2DDb--2D--,2S,!S + !D
1H2DDb--2D--,3C,6+!D
1H2DDb--,2H,Relay
1H2DDb--2H--,2N,!S + !C
1H2DDb--2H--,2S,5!S
1H2DDb--2H--,3C,6+!C
1H2DDb--2H--,3D,6+!S
1H2D,--,Weak
,1H,11-18HcP; 5+!H
1HDb,1N,6-9HcP; 3+!H
1HDb,2H,3+!H; Preempt
1HDb,Rd,10+HcP; Penalty?
1H--,1N,8-11HcP; 4!S + 5 minor
1H--,1S,4+!S; 0-2!H
1H--,2C,3+!H; Rev. Drury
1H--2C--,2D,Ordinary open
1H--2C--,2H,Weak open
1H--,2D,5+!D
1H--,2H,7-9HcP; 3+!H
1H--2H--,2N,4!S; Help-suit
1H--2H--2N--,3H,Poor support
1H--2H--2N--,4H,Good support
1H--2H--,2S,Any short
1H--2H--2S--,2N,ASK short
1H--2H--2S--2N--,3C,0-1!C
1H--2H--2S--2N--,3D,0-1!D
1H--2H--2S--2N--,3H,0-1!S
1H--2H--,3C,4!C; Help-suit
1H--2H--3C--,3H,Poor support
1H--2H--3C--,4H,Good support
1H--2H--,3D,4!D; Help-suit
1H--2H--3D--,3H,Poor support
1H--2H--3D--,4H,Good support
1H--2H--,--,11-15HcP; Signoff
1H--,2N,5!S + 3!H
1H--,2S,3+!H; 0-1!S
1H--,3C,5!C + 3!H
1H--,3D,5!D + 3!H
1H--,3H,3+!H; Preempt
1H--,3N,3+!H; 0-1!S
1H--,3S,3+!H; Any short
1H--3S--,3N,Signoff
1H--3S--,4H,Signoff
1H--,4C,3+!H; 0-1!C
1H--,4D,3+!H; 0-1!D
1H--,4H,4!H; Signoff
1S1N,2C,Signoff
1S1N,2D,Signoff
1S1N,2H,Signoff
1S1N,2N,Lebensohl delay
1S1N2N--,3C,Relay
1S1N2N--3C--,3D,Trans -> !H
1S1N2N--3C--,3H,Trans -> !S
1S1N2N--3C--,3N,Trans -> !D
1S1N2N--3C--,3S,Trans -> !C
1S1N2N--3C--,--,To play
1S1N,2S,Signoff
1S1N,3C,Trans -> !D; GF
1S1N,3D,Trans -> !H; GF
1S1N,3H,Trans -> !S; GF
1S1N,3N,No stop
1S1N,3S,Trans -> !C; GF
1S1N,Db,Penalty
1S2C,2D,5+!D; NF
1S2C,2H,5+!H; NF
1S2C,2S,3+!S; NF
1S2C,3C,*3+!S; Invite   *GF any
1S2C3C--,3D,ASK short
1S2C3C--3D--,3H,0-1!H
1S2C3C--3D--,3N,No short
1S2C3C--3D--,3S,0-1!D
1S2C3C--3D--,4C,0-1!C
1S2C3C--,3S,Signoff
1S2C,3D,9-11HcP; 3+!S  +  4+!D
1S2C,3H,9-11HcP; 3+!S  +  4+!H
1S2C,Db,Negative DBL. 2 unbid or a long suit
1S2CDb--,2D,Relay
1S2CDb--2D--,2H,5!H
1S2CDb--2D--,2N,6+!H
1S2CDb--2D--,2S,!H + !D
1S2CDb--2D--,3C,6+!D
1S2C,--,Weak
1S2D,2H,5+!H; NF
1S2D,2S,3+!S; NF
1S2D,3C,9-11HcP; 3+!S  +  4+!C
1S2D,3D,*3+!H; Invite   *GF any
1S2D3D--,3H,ASK short
1S2D3D--3H--,3N,No short
1S2D3D--3H--,3S,min; 0-1!H
1S2D3D--3H--,4C,0-1!C
1S2D3D--3H--,4D,0-1!D
1S2D3D--3H--,4H,1!H
1S2D3D--3H--,4S,0!H
1S2D3D--,3S,Signoff
1S2D,3H,9-11HcP; 3+!S  +  4+!H
1S2D,Db,Negative DBL. 2 unbid or a long suit
1S2DDb--,2D,Relay
1S2DDb--2D--,2H,5!S
1S2DDb--2D--,2N,6+!S
1S2DDb--2D--,2S,!S + !D
1S2DDb--2D--,3C,6+!D
1S2DDb--,2H,Relay
1S2DDb--2H--,2N,5!H
1S2DDb--2H--,2S,!H+!C
1S2DDb--2H--,3C,6+!C
1S2DDb--2H--,3D,6+!H
1S2D,--,Weak
1S2H,2S,3+!S; NF
1S2H,3C,9-11HcP; 3+!S  +  4+!C
1S2H,3D,9-11HcP; 3+!S  +  4+!D
1S2H,3H,*3+!S; Invite   *GF any
1S2H3H--,3N,ASK short
1S2H3H--3N--,4C,0-1!C
1S2H3H--3N--,4D,0-1!D
1S2H3H--3N--,4H,0-1!H
1S2H3H--3N--,4S,No short
1S2H3H--,3S,Signoff
1S2H,Db,Negative DBL. 2 unbid or a long suit
1S2HDb--,2D,Relay
1S2HDb--2D--,2H,5!S
1S2HDb--2D--,2N,6+!S
1S2HDb--2D--,2S,!S + !D
1S2HDb--2D--,3C,6+!D
1S2HDb--,2H,Relay
1S2HDb--2H--,2N,5!H
1S2HDb--2H--,2S,!H+!C
1S2HDb--2H--,3C,6+!C
1S2HDb--2H--,3D,6+!H
1S2HDb--,2S,Relay
1S2HDb--2S--,2N,!C+!D
1S2HDb--2S--,3C,6+!C
1S2HDb--2S--,3D,6+!D
1S2H,--,Weak
,1S,11-18HcP; 5+!S
1SDb,1N,6-9HcP; 3+!S
1SDb,2S,3+!S; Preempt
1SDb,Rd,10+HcP; Penalty?
1S--,1N,8-15HcP; 4!H + 5 minor
1S--,1S,4+!S; 0-2!H
1S--,2C,3+!S; Rev. Drury
1S--2C--,2D,Ordinary open
1S--2C--,2S,Weak open; Signoff
1S--,2D,5+!D
1S--,2H,3+!S; 0-1!H
1S--,2N,3!S; Balanced
1S--,2S,7-9HcP; 3+!S
1S--2S--,2N,Any short
1S--2S--2N--,3C,ASK short
1S--2S--2N--3C--,3D,0-1!D
1S--2S--2N--3C--,3H,0-1!H
1S--2S--2N--3C--,3S,0-1!C
1S--2S--,3C,4!C; Help-suit
1S--2S--3C--,3S,Poor support
1S--2S--3C--,4S,Good support
1S--2S--,3D,4!D; Help-suit
1S--2S--3D--,3S,Poor support
1S--2S--3D--,4S,Good support
1S--2S--,3H,4!H; Help-suit
1S--2S--3H--,3S,Poor support
1S--2S--3H--,4S,Good support
1S--2S--,--,11-15HcP; Signoff
1S--,3C,5+!C; 3+!S
1S--,3D,5+!D; 3+!S
1S--,3H,5+!H; 3+!S
1S--,3N,3+!S; any short
1S--,3S,3+!S; Preempt
1S--,4C,3+!S; 0-1!C
1S--,4D,3+!S; 0-1!D
1S--,4H,3+!S; 0-1!H
1S--,4S,4!S; Signoff
2C2D,2H,5+!H; NF
2C2D,2N,Invite
2C2D,2S,5+!S; NF
2C2D,3C,3+!C; Preempt
2C2D,3D,3+!C; Invite
2C2D3D--,3H,4!H; No stop
2C2D3D--,3N,Stop OK
2C2D3D--,3S,4!S; No stop
2C2D,3H,5+!H; GF
2C2D,3N,Signoff
2C2D,3S,5+!S; GF
2C2D,4H,6+!H; Signoff
2C2D,4S,6+!S; Signoff
2C2D,Db,Sputnik; GF incl. a 5card MAJOR
2C2DDb--,2H,4!H
2C2DDb--,2N,Stop OK
2C2DDb--,2S,4!S
2C2DDb--,3C,6+!C
2C2D,--,Weak or trap
2C2H,2N,Invite
2C2H,2S,5+!S; NF
2C2H,3C,3+!C; Preempt
2C2H,3D,5+!D; GF
2C2H,3H,3+!C; Invite
2C2H3H--,3N,Stop OK
2C2H3H--,3S,4!S
2C2H3H--,4C,6+!C
2C2H,3N,Signoff
2C2H,3S,5+!S; GF
2C2H,4S,6+!S; Signoff
2C2H,Db,Sputnik; GF incl. 5!S
2C2HDb--,2H,4!H
2C2HDb--,2N,Stop OK
2C2HDb--,2S,4!S
2C2HDb--,3C,6+!C
2C2H,--,Weak or trap
2C2S,2N,Invite
2C2S,3C,3+!C; Preempt
2C2S,3D,5+!D; GF
2C2S,3H,5+!H; GF
2C2S,3N,Signoff
2C2S,3S,3+!C; Invite
2C2S3S--,3N,Stop OK
2C2S3S--,4C,6+!C
2C2S3S--,4H,4!H; No stop
2C2S,4H,6+!H; Signoff
2C2S,Db,Sputnik; GF incl. 5!H
2C2SDb--,2H,4!H
2C2SDb--,2N,Stop OK
2C2SDb--,2S,4!S
2C2SDb--,3C,6+!C
2C2SDb--,3H,4!H
2C2S,--,Weak or trap
,2C,11-16HcP; 6!C or 5+!C + a 4card MAJOR
2CDb,2D,6+!D; NF
2CDb,2H,5+!H; NF
2CDb,2N,Invite
2CDb,2S,5+!S; NF
2CDb,3C,3+!C; Preempt
2CDb,3D,7-10HcP; 5+!D; 3+!C
2CDb,3H,7-10HcP; 5+!H; 3+!C
2CDb,3S,7-10HcP; 5+!S; 3+!C
2CDb,4H,6+!H; Signoff
2CDb,4S,6+!S; Signoff
2CDb,--,10-12HcP; bal; NF
2CDb,Rd,*10-12HcP; bal    *GF;any
2C--,2D,Relay; Invite
2C--2D--,2H,5-6!C + a 4card MAJOR
2C--2D--2H--,2S,ASK distrib
2C--2D--2H--2S--,2N,5!C; 2-4-2-5; 4-2-2-5 
2C--2D--2H--2S--2N--,3C,ASK distrib
2C--2D--2H--2S--2N--3C--,3D,min; 2-4-2-5
2C--2D--2H--2S--2N--3C--,3H,MAX; 2-4-2-5
2C--2D--2H--2S--2N--3C--,3N,MAX; 4-2-2-5
2C--2D--2H--2S--2N--3C--,3S,min; 4-2-2-5
2C--2D--2H--2S--,3C,minimum; 6!C + 4 MAJOR
2C--2D--2H--2S--3C--,3D,ASK MAJOR
2C--2D--2H--2S--3C--3D--,3H,4!H
2C--2D--2H--2S--3C--3D--3H--,3N,Signoff
2C--2D--2H--2S--3C--3D--3H--,3S,ASK short
2C--2D--2H--2S--3C--3D--3H--3S--,3N,2-4-1-6
2C--2D--2H--2S--3C--3D--3H--3S--,4C,1-4-2-6
2C--2D--2H--2S--3C--3D--3H--3S--,4D,3-4-0-6
2C--2D--2H--2S--3C--3D--3H--3S--,4H,0-4-3-6
2C--2D--2H--2S--3C--3D--3H--,4C,Signoff
2C--2D--2H--2S--3C--3D--3H--,4H,Signoff
2C--2D--2H--2S--3C--3D--3H--,5C,Signoff
2C--2D--2H--2S--3C--3D--3H--,--,To play
2C--2D--2H--2S--3C--3D--,3S,4!S
2C--2D--2H--2S--3C--3D--3S--,3N,Signoff
2C--2D--2H--2S--3C--3D--3S--,4C,Signoff
2C--2D--2H--2S--3C--3D--3S--,4D,ASK short
2C--2D--2H--2S--3C--3D--3S--4D--,4H,0-1!H
2C--2D--2H--2S--3C--3D--3S--4D--,4S,0-1!D
2C--2D--2H--2S--3C--3D--3S--,4S,Signoff
2C--2D--2H--2S--3C--3D--3S--,5C,Signoff
2C--2D--2H--2S--3C--3D--3S--,--,To play
2C--2D--2H--2S--3C--,--,To play
2C--2D--2H--2S--,3D,1-4-3-5
2C--2D--2H--2S--,3H,3-4-1-5
2C--2D--2H--2S--,3N,4-3-1-5
2C--2D--2H--2S--,3S,4-1-3-5
2C--2D--2H--2S--,4C,MAXIMUM; 6!C + 4 MAJOR
2C--2D--2H--2S--4C--,4D,ASK MAJOR
2C--2D--2H--2S--4C--4D--,4H,4!H
2C--2D--2H--2S--4C--4D--4H--,4N,Signoff
2C--2D--2H--2S--4C--4D--4H--,4S,ASK short
2C--2D--2H--2S--4C--4D--4H--4S--,4N,0-1!D
2C--2D--2H--2S--4C--4D--4H--4S--,5C,0-1!S
2C--2D--2H--2S--4C--4D--4H--,5C,Signoff
2C--2D--2H--2S--4C--4D--4H--,--,To play
2C--2D--2H--2S--4C--4D--,4S,4!S
2C--2D--2H--2S--4C--4D--4S--,4N,Signoff
2C--2D--2H--2S--4C--4D--4S--,5C,Signoff
2C--2D--2H--2S--4C--4D--4S--,5D,ASK short
2C--2D--2H--2S--4C--4D--4S--5D--,5H,0-1!H
2C--2D--2H--2S--4C--4D--4S--5D--,5S,0-1!D
2C--2D--2H--2S--4C--4D--4S--,--,To play
2C--2D--2H--2S--4C--,5C,Signoff
2C--2D--,2N,MAXIMUM; No short
2C--2D--2N--,3C,ASK distrib
2C--2D--2N--3C--,3D,2-2-3-6
2C--2D--2N--3C--,3H,2-3-2-6
2C--2D--2N--3C--,3N,7 bad !C; 2-2-2-7
2C--2D--2N--3C--,3S,3-2-2-6
2C--2D--,2S,6!C + a singleton
2C--2D--2S--,2N,ASK single
2C--2D--2S--2N--,3C,4!D or 1!D
2C--2D--2S--2N--3C--,3D,ASK distrib
2C--2D--2S--2N--3C--3D--,3H,min; 3-3-1-6
2C--2D--2S--2N--3C--3D--,3N,1-2-4-6; 2-1-4-6
2C--2D--2S--2N--3C--3D--,3S,MAX; 3-3-1-6
2C--2D--2S--2N--,3D,min; 3-1-3-6
2C--2D--2S--2N--,3H,MAX; 3-1-3-6
2C--2D--2S--2N--,3N,MAX; 1-3-3-6
2C--2D--2S--2N--,3S,min; 1-3-3-6
2C--2D--,3C,minimum; No short
2C--2D--3C--,3D,ASK distrib
2C--2D--3C--3D--,3H,2-3-2-6
2C--2D--3C--3D--,3N,2-2-3-6
2C--2D--3C--3D--,3S,3-2-2-6
2C--2D--3C--3D--,4C,7 bad !C; 2-2-2-7
2C--2D--3C--,--,To play
2C--,2H,5+!H; NF
2C--,2S,5+!S; NF
2C--,--,To play
Option

